movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35.0,TV-Y,French,Japan,,,,,,False,2023-08-07,False
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,,2017,37.0,PG,Japanese,USA,3.3,,,,,False,2022-01-28,True
movie_0003,Fire Family,Movie,Drama,,2003,142.0,TV-MA,English,USA,8.5,2114120.0,,,,False,2021-05-04,True
movie_0004,Our Princess,Documentary,Sci-Fi,,2011,131.0,NC-17,Japanese,USA,5.3,,,,,False,2022-11-26,False
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91.0,TV-G,English,USA,3.1,,,,,False,2023-06-15,False
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113.0,PG-13,English,USA,8.0,4214426.0,792291.0,,,False,2021-01-21,False
movie_0007,Battle Story,TV Series,Sci-Fi,,2003,52.0,TV-Y7,English,USA,,,,,158.0,False,2021-11-30,False
movie_0008,Old House,Movie,Horror,,1991,109.0,TV-Y,Spanish,South Korea,7.7,629216.0,3995303.0,,,False,2020-10-04,False
movie_0009,Dragon Empire,Movie,Biography,,2013,123.0,PG,Spanish,USA,8.4,,,,,False,2024-05-09,False
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49.0,TV-Y,Italian,Japan,8.2,,,12.0,32.0,False,2021-09-20,False
movie_0011,Day Dream,Movie,Western,,2022,148.0,R,English,USA,,16018207.0,,,,True,2025-06-02,False
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95.0,G,English,South Korea,9.9,,72997481.0,,,False,2025-05-22,False
movie_0013,Dream Journey,Movie,Romance,,2013,138.0,PG,English,Germany,8.6,1758821.0,3573506.0,,,False,2021-01-20,True
