search_id,user_id,search_query,search_date,results_returned,clicked_result_position,device_type,search_duration_seconds,had_typo,used_filters,location_country
search_000001,user_09864,classic movies,2024-03-22,20,2,Tablet,12.4,False,False,Canada
search_000002,user_08038,stand up comedy,2025-11-22,24,4,Tablet,63.5,True,False,USA
search_000003,user_02009,music documentaries,2024-10-09,86,1,Tablet,24.7,True,False,USA
search_000004,user_01083,comedy shows,2024-12-14,70,4,Mobile,53.7,False,False,USA
search_000005,user_04269,movies based on true stories,2025-01-10,48,,Tablet,69.6,True,False,USA
search_000006,user_03478,thriller series,2024-09-18,76,4,Laptop,7.2,False,True,USA
search_000007,user_03800,travel documentaries,2025-10-03,70,,Laptop,12.3,False,False,USA
search_000008,user_00191,superhero movies,2024-05-24,50,1,Laptop,17.4,False,True,USA
search_000009,user_03999,biographies,2025-07-18,7,,Laptop,7.0,False,False,USA
search_000010,user_06785,movies based on true stories,2025-04-09,31,,Smart TV,20.2,False,False,Canada
search_000011,user_04781,biographies,2024-06-17,28,4,Tablet,,False,False,USA
search_000012,user_06311,action movies,2024-09-06,56,4,Smart TV,10.9,True,False,USA
search_000013,user_03850,new releases,2025-03-22,12,,Mobile,20.4,False,True,USA
search_000014,user_00610,halloween movies,2024-12-31,78,,Smart TV,21.9,False,False,USA
search_000015,user_07791,war movies,2024-06-04,28,,Laptop,7.9,True,False,USA
search_000016,user_06185,stand up comedy,2024-11-07,95,4,Mobile,50.2,False,False,Canada
search_000017,user_01060,romantic comedies,2024-02-27,64,5,Smart TV,41.5,False,False,USA
search_000018,user_04897,documentaries,2025-02-24,61,,Laptop,3.7,False,True,USA
search_000019,user_04549,family movies,2025-02-15,25,,Tablet,51.2,False,True,USA
search_000020,user_03172,superhero movies,2024-11-05,65,,Smart TV,46.5,False,False,USA
search_000021,user_06470,cooking shows,2025-03-12,12,2,Tablet,12.7,False,False,USA
search_000022,user_00479,biographies,2025-04-14,50,7,Laptop,2.6,False,False,USA
search_000023,user_09719,documentaries,2024-05-21,100,3,Smart TV,,False,True,USA
search_000024,user_01317,new releases,2025-12-04,16,2,Tablet,45.8,False,True,USA
search_000025,user_03286,superhero movies,2024-03-09,62,3,Tablet,,False,False,Canada
search_000026,user_08165,superhero movies,2025-07-25,14,10,Tablet,15.5,False,False,USA
search_000027,user_01208,christmas movies,2024-10-05,8,8,Mobile,5.9,True,True,USA
search_000028,user_05349,netflix originals,2024-06-13,79,,Mobile,15.0,False,False,Canada
search_000029,user_09492,shows with strong female leads,2024-04-09,41,,Smart TV,7.4,False,True,USA
search_000030,user_08098,animated shows,2025-01-17,58,1,Laptop,16.0,False,False,USA
search_000031,user_01890,action movies,2025-02-27,87,,Mobile,21.8,False,True,USA
search_000032,user_00199,new releases,2024-11-16,44,,Smart TV,38.7,False,False,USA
search_000033,user_02501,biographies,2025-08-17,99,7,Laptop,,False,False,Canada
search_000034,user_09443,cooking shows,2024-07-13,100,,Laptop,11.8,False,False,USA
search_000035,user_00769,new releases,2025-07-24,19,,Tablet,16.6,False,False,Canada
search_000036,user_04884,comedy shows,2025-08-28,68,9,Smart TV,34.0,False,False,Canada
search_000037,user_09777,classic movies,2025-12-29,61,,Tablet,5.7,False,True,Canada
search_000038,user_06921,movies based on true stories,2024-03-05,91,,Smart TV,35.9,False,True,USA
search_000039,user_08354,halloween movies,2024-04-15,41,,Laptop,34.2,False,False,USA
search_000040,user_01502,travel documentaries,2025-02-07,37,7,Mobile,16.8,False,False,USA
search_000041,user_00440,thriller series,2025-05-06,20,2,Laptop,13.7,False,True,USA
search_000042,user_08198,horror movies,2024-05-27,86,10,Tablet,11.0,False,False,USA
search_000043,user_02701,best movies 2024,2024-09-09,81,9,Tablet,34.4,False,False,Canada
search_000044,user_09465,music documentaries,2024-08-11,99,,Tablet,23.8,False,False,USA
search_000045,user_05142,netflix originals,2025-12-30,91,8,Laptop,35.2,False,False,USA
search_000046,user_03457,thriller series,2024-11-09,7,,Tablet,2.1,False,False,USA
search_000047,user_08629,true crime,2024-10-05,40,8,Tablet,53.8,False,True,USA
search_000048,user_02147,comedy shows,2024-02-06,8,9,Mobile,18.3,False,False,USA
search_000049,user_02139,netflix originals,2025-02-06,13,1,Mobile,12.2,False,False,USA
search_000050,user_07633,movies based on true stories,2024-08-27,93,10,Mobile,24.3,False,False,Canada
search_000051,user_01306,animated shows,2025-05-11,63,1,Smart TV,9.2,False,False,USA
search_000052,user_03213,sci-fi,2025-02-12,1,3,Mobile,9.8,False,False,Canada
search_000053,user_04648,christmas movies,2024-05-05,43,2,Laptop,19.8,False,False,USA
search_000054,user_05962,horror movies,2025-06-09,23,1,Smart TV,10.3,False,False,USA
search_000055,user_07344,drama series,2024-04-27,94,,Mobile,6.0,False,False,USA
search_000056,user_00988,netflix originals,2024-03-25,23,6,Mobile,20.6,False,False,Canada
search_000057,user_02365,music documentaries,2024-05-12,79,,Tablet,45.0,False,False,Canada
search_000058,user_01701,stand up comedy,2024-12-31,4,,Tablet,16.6,False,True,Canada
search_000059,user_06416,netflix originals,2024-05-20,57,,Tablet,40.9,False,False,Canada
search_000060,user_04881,travel documentaries,2025-07-05,74,,Laptop,32.3,False,False,Canada
search_000061,user_08310,war movies,2024-01-07,71,,Tablet,24.5,False,False,USA
search_000062,user_02988,movies like stranger things,2024-08-14,38,,Smart TV,25.1,False,False,USA
search_000063,user_07814,drama series,2024-02-20,48,8,Smart TV,8.9,False,True,USA
search_000064,user_02158,sci-fi,2024-08-29,69,,Smart TV,,False,False,USA
search_000065,user_02179,korean drama,2025-02-20,80,6,Tablet,,False,False,USA
search_000066,user_07315,horror movies,2025-05-13,8,,Laptop,22.2,False,True,USA
search_000067,user_02568,thriller series,2024-09-23,33,,Mobile,39.8,False,True,Canada
search_000068,user_08071,superhero movies,2024-04-17,86,6,Tablet,1.5,False,False,USA
search_000069,user_02158,movies based on true stories,2025-04-08,59,,Mobile,45.9,False,False,Canada
search_000070,user_05460,sci-fi,2025-05-30,65,9,Mobile,22.3,False,False,Canada
search_000071,user_02584,superhero movies,2025-08-29,65,9,Mobile,,True,False,Canada
search_000072,user_04841,sci-fi,2025-07-19,51,6,Laptop,13.5,False,False,USA
search_000073,user_07270,cooking shows,2025-08-20,46,7,Mobile,15.6,False,False,USA
search_000074,user_04019,new releases,2024-05-07,78,3,Smart TV,9.6,False,True,USA
search_000075,user_07551,action movies,2024-04-20,57,3,Mobile,,False,False,USA
search_000076,user_04992,horror movies,2024-06-10,68,,Laptop,36.6,False,False,USA
search_000077,user_01377,korean drama,2024-04-11,97,5,Smart TV,24.0,False,False,USA
search_000078,user_02396,movies like stranger things,2024-12-07,85,6,Laptop,23.9,False,False,USA
search_000079,user_06678,animated shows,2024-10-01,95,,Mobile,12.9,False,True,USA
search_000080,user_00099,drama series,2025-04-26,21,,Smart TV,12.9,False,False,USA
search_000081,user_00775,halloween movies,2024-05-30,98,8,Smart TV,45.8,False,False,Canada
search_000082,user_09717,short episodes under 30 minutes,2025-12-28,70,1,Laptop,17.6,False,False,USA
search_000083,user_05231,halloween movies,2024-04-09,53,,Laptop,6.1,False,False,USA
search_000084,user_04470,action movies,2024-08-28,13,10,Laptop,11.6,False,False,Canada
search_000085,user_03666,halloween movies,2025-09-25,38,,Laptop,17.4,False,False,USA
search_000086,user_05952,comedy shows,2024-05-21,90,,Tablet,24.5,False,False,USA
search_000087,user_07015,new releases,2025-04-06,100,,Mobile,4.6,False,True,USA
